key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
homeCreateBookingSubtitle,Real Barber home screen,Vyber službu a čas,Choose a service and time,Оберіть послугу та час,,,
homeHaircuts,Real Barber home screen,Účesy,Hairstyles,Зачіски,,,
homePromoBadgeCoupon,Real Barber home screen,Kupón,Coupon,Купон,,,
homePromoSectionTitle,Real Barber home screen,Tipy a nabídky,Tips & offers,Поради та пропозиції,,,
homeRecentDefaultName,Real Barber home screen,Rezervace,Booking,Бронювання,,,
homeRecentEmpty,Real Barber home screen,Zatím nemáte žádné rezervace.,No bookings yet.,Поки немає бронювань.,,,
homeRecentLoading,Real Barber home screen,Načítám…,Loading…,Завантажую…,,,
homeRecentTitle,Real Barber home screen,Nedávné,Recent,Нещодавні,,,
homeRepeatBookingTitle,Real Barber home screen,Zopakovat minulou rezervaci,Repeat last booking,Повторити минуле бронювання,,,
homeSpotlightCurrent,Real Barber home screen,Právě probíhá,In progress,Зараз триває,,,
homeSpotlightOngoing,Real Barber home screen,Právě probíhá,In progress,Зараз триває,,,
homeSpotlightReview,Real Barber home screen,Jak jste byli spokojeni?,How was your experience?,Як вам сподобалося?,,,
homeSpotlightReviewRated,Real Barber home screen,Ohodnotili jste,You rated,Ви вже оцінили,,,
homeSpotlightSoon,Real Barber home screen,Brzy začíná rezervace,Upcoming booking,Скоро почнеться бронювання,,,
homeSpotlightToday,Real Barber home screen,Dnes máte rezervaci,You have a booking today,Сьогодні у вас бронювання,,,
homeSpotlightUpcoming,Real Barber home screen,Nadcházející rezervace,Upcoming booking,Найближче бронювання,,,
homeTodayTeamEmpty,Real Barber home screen,Dnes nemá nikdo směnu.,No barbers on shift today.,Сьогодні ніхто не на зміні.,,,
homeTodayTeamLoadError,Real Barber home screen,Nepodařilo se načíst dostupnost.,Could not load availability.,Не вдалося завантажити доступність.,,,
homeTodayTeamLoading,Real Barber home screen,Načítám…,Loading…,Завантажую…,,,
homeTodayTeamMoreSlots,Real Barber home screen,Další,More,Інше,,,
homeTodayTeamNearestSlotsOnDate,Real Barber home screen,Nejbližší termíny {when},Nearest slots {when},Найближчі слоти {when},,,
homeTodayTeamNotAvailableToday,Real Barber home screen,Dnes už není dostupný,Not available today,Сьогодні вже недоступний,,,
homeTodayTeamOpenFullTeam,Real Barber home screen,Otevřít celý tým,Open full team,Відкрити всю команду,,,
homeTodayTeamShiftEnded,Real Barber home screen,Dnes už jsem skončil/a,Finished for today,Сьогодні вже закінчив/ла,,,
homeTodayTeamShiftEndingSoon,Real Barber home screen,Brzy končí - {branch},Ending soon - {branch},Скоро закінчує - {branch},,,
homeTodayTeamShiftEndsAt,Real Barber home screen,Končí v {time} - {branch},Ends at {time} - {branch},Закінчує о {time} - {branch},,,
homeTodayTeamShiftInterval,Real Barber home screen,{start} - {end} - {branch},{start} - {end} - {branch},{start} - {end} - {branch},,,
homeTodayTeamShiftStartsAt,Real Barber home screen,Začíná ve {time} - {branch},Starts at {time} - {branch},Починає о {time} - {branch},,,
homeTodayTeamShiftStartsSoon,Real Barber home screen,Začíná za chvíli - {branch},Starting soon - {branch},Починає незабаром - {branch},,,
homeTodayTeamShiftWorking,Real Barber home screen,Právě pracuje - {branch},Working now - {branch},Працює зараз - {branch},,,
homeTodayTeamTitle,Real Barber home screen,Dnes k dispozici,Available today,Сьогодні доступні,,,
homeTodayTeamWaitlistAlternateContactRequired,Real Barber home screen,Vyplňte telefon nebo e-mail.,Enter a phone number or email.,Вкажіть телефон або e-mail.,,,
homeTodayTeamWaitlistAlternateEmailLabel,Real Barber home screen,E-mail,Email,E-mail,,,
homeTodayTeamWaitlistAlternatePhoneLabel,Real Barber home screen,Telefon,Phone,Телефон,,,
homeTodayTeamWaitlistClose,Real Barber home screen,Zavřít,Close,Закрити,,,
homeTodayTeamWaitlistError,Real Barber home screen,Nepodařilo se zapsat na čekací listinu. Zkuste to znovu.,Could not join the waitlist. Please try again.,Не вдалося записатися в лист очікування. Спробуйте ще раз.,,,
homeTodayTeamWaitlistHint,Real Barber home screen,"""Pokud se něco uvolní, ozveme se.""","""If a spot opens, we'll reach out.""","Якщо звільниться місце, ми зв’яжемося.",,,
homeTodayTeamWaitlistInvalidPayload,Real Barber home screen,Zkontrolujte e-mail a zkuste to znovu.,Check your email and try again.,Перевірте ел. пошту та спробуйте ще раз.,,,
homeTodayTeamWaitlistJoin,Real Barber home screen,Zapsat se,Sign up,Записатися,,,
homeTodayTeamWaitlistJoined,Real Barber home screen,Jste na čekací listině,You're on the waitlist,Ви в черзі,,,
homeTodayTeamWaitlistNeedLogin,Real Barber home screen,Pro zápis se přihlaste.,Sign in to join the waitlist.,"Щоб записатися, увійдіть.",,,
homeTodayTeamWaitlistPreferredEmail,Real Barber home screen,E-mail,Email,E-mail,,,
homeTodayTeamWaitlistPreferredEmailPlaceholder,Real Barber home screen,vas@email.cz,you@email.com,vas@email.com,,,
homeTodayTeamWaitlistPreferredPhone,Real Barber home screen,Telefon,Phone,Телефон,,,
homeTodayTeamWaitlistPreferredPickerTitle,Real Barber home screen,Jak vás máme kontaktovat?,How should we contact you?,Як з вами зв'язатися?,,,
homeTodayTeamWaitlistPreferredSection,Real Barber home screen,Jak vás máme kontaktovat?,How should we contact you?,Як з вами зв'язатися?,,,
homeTodayTeamWaitlistPreferredSms,Real Barber home screen,SMS,SMS,SMS,,,
homeTodayTeamWaitlistPreferredTelegram,Real Barber home screen,Telegram,Telegram,Telegram,,,
homeTodayTeamWaitlistPreferredWhatsapp,Real Barber home screen,WhatsApp,WhatsApp,WhatsApp,,,
homeTodayTeamWaitlistRateLimited,Real Barber home screen,Příliš mnoho pokusů. Zkuste to za chvíli.,Too many attempts. Please try again in a moment.,Забагато спроб. Спробуйте трохи пізніше.,,,
homeTodayTeamWaitlistSheetTitle,Real Barber home screen,Čekací listina,Waitlist,Черга очікування,,,
homeTodayTeamWaitlistSubmit,Real Barber home screen,Zapsat se,Sign up,Записатися,,,
homeTodayTeamWaitlistSubmitting,Real Barber home screen,Odesílám…,Sending…,Надсилаємо…,,,
homeTodayTeamWaitlistSuccessTitle,Real Barber home screen,Jste na čekací listině,You're on the waitlist,Ви в черзі,,,
homeTodayTeamWaitlistUseOtherContact,Real Barber home screen,Jiný telefon/email,Other phone/email,Інший телефон/email,,,
howToGetToUs,Common,Kudy k nám?,How to get to us?,Як до нас дістатися?,,,
inspiraceDetailAbout,Services,O účesu,About the haircut,Про зачіску,,,
inspiraceDetailAvailabilityMessage,Services,"""Dobrý den, chtěl/a bych si rezervovat tento účes""","""Hello, I would like to book this haircut""","Добрий день, хотів/ла б забронювати цю зачіску",,,
inspiraceDetailBackToInspirace,Services,Zpět na inspiraci,Back to inspiration,Назад до натхнення,Zpět na účesy,Back to hairstyles,Sjednocení Inspirace → Účesy / Inspiration → Hairstyles.
inspiraceDetailDifficulty,Services,Obtížnost stylingů,Styling difficulty,Складність укладання,,,
inspiraceDetailFaceShapes,Services,Tvar obličeje,Face shape,Форма обличчя,,,
inspiraceDetailForWho,Services,Pro koho,For whom,Для кого,,,
inspiraceDetailGallery,Services,Galerie,Gallery,Галерея,,,
inspiraceDetailHairLengths,Services,Délka vlasů,Hair length,Довжина волосся,,,
inspiraceDetailHairProperties,Services,Vlastnosti vlasů,Hair properties,Властивості волосся,,,
inspiraceDetailHairTypes,Services,Typ vlasů,Hair type,Тип волосся,,,
inspiraceDetailMenuOpen,Services,Možnosti účesu,Hairstyle options,Варіанти зачіски,,,
inspiraceDetailNotFound,Services,Účes nebyl nalezen.,Hairstyle not found.,Зачіску не знайдено.,,,
inspiraceDetailPopularityIndex,Services,Index popularity,Popularity index,Індекс популярності,,,
inspiraceDetailPreferredBarbers,Services,Kdo rád stříhá tento účes?,Who enjoys cutting this hairstyle?,Хто любить стригти цю зачіску?,,,
inspiraceDetailSimilar,Services,Podobné účesy,Similar hairstyles,Схожі стрижки,,,
inspiraceExpandMore,Services,Zobrazit více,Show more,Дізнатися більше,,,
inspiraceLoadError,Services,Inspirace se nepodařilo načíst.,Failed to load inspiration.,Не вдалося завантажити натхнення.,Účesy se nepodařilo načíst.,Failed to load hairstyles.,Sjednocení Inspirace → Účesy / Inspiration → Hairstyles.
inspiraceNoItems,Services,Žádné účesy k zobrazení.,No hairstyles to show.,Немає зачісок для показу.,,,
inspiracePageIntroStylistLink,Services,stylistou,stylist,стилістом,,,
inspiracePageTitle,Services,Inspirace pro výběr pánského účesu,Inspiration for choosing a men’s haircut,Натхнення для вибору чоловічої зачіски,Účesy - inspirace pro výběr pánského střihu,Hairstyles - inspiration for choosing a men’s haircut,Web používá Účesy/Hairstyles místo Inspirace/Inspiration.
isNewBadge,Home tabs (horizontal scroll under home),Nový,New,Новий,,,
kudyBranchNotFound,Kudy,Pobočka nenalezena.,Branch not found.,Філію не знайдено.,,,
kudyHowToGetToUs,Kudy,Kudy k nám,How to get to us,Як до нас дістатися,,,
kudyOpenGoogleMaps,Kudy,Otevřít v Google Maps,Open in Google Maps,Відкрити в Google Maps,,,
kudyOpenWaze,Kudy,Otevřít ve Waze,Open in Waze,Відкрити у Waze,,,
kudyRideUber,Kudy,Jízda s Uberem,Ride with Uber,Поїхати з Uber,,,
kudyShowVideo,Kudy,Přehrát video,Show video,Відтворити відео,,,
kudyTransportParking,Kudy k nám,Doprava a parkování,Transport and parking,Транспорт і паркування,,,
listingsExperiences,Listings (business),Zážítky,Experiences,Враження,,,
listingsHomes,Listings (business),Domovy,Homes,Житло,,,
listingsYourListings,Listings (business),Vaše inzeráty,Your listings,Ваші оголошення,,,
localeSelectTitle,Profile,Výběr jazyka,Choose language,Вибір мови,,,
localeSwitch,Profile,Přepnout jazyk,Change language,Змінити мову,,,
loginContinue,Auth,Pokračovat,Continue,Продовжити,,,
loginForgotPassword,Auth,Zapomenuté heslo?,Forgot Password?,Забули пароль?,,,
loginNoAccount,Auth,Nemáte účet? ,Don't have an account? ,Немає акаунта?,,,
loginOtpChallengeNotSent,Auth,SMS se nepodařilo odeslat. Zkuste to později.,We could not send an SMS. Try again later.,Не вдалося надіслати SMS. Спробуйте пізніше.,,,
loginOtpChangePhone,Auth,Změnit telefon,Change phone number,Змінити телефон,,,
loginOtpCodeLabel,Auth,Kód z SMS,SMS code,Код з SMS,,,
loginOtpFailed,Auth,Ověření se nezdařilo. Zkuste to znovu.,Verification failed. Try again.,Перевірка не вдалася. Спробуйте ще раз.,,,
loginOtpGreetingNoName,Auth,Vítáme tě v aplikaci.,Welcome to the app.,Вітаємо в застосунку.,,,
loginOtpGreetingWithName,Auth,"""Vítáme tě v aplikaci, {name}.""","""Welcome to the app, {name}.""","Вітаємо в застосунку, {name}.",,,
loginOtpInvalid,Auth,Zadejte 6místný kód.,Enter the 6-digit code.,Введіть 6-значний код.,,,
loginOtpRequestFailed,Auth,Kód se nepodařilo odeslat. Zkuste to znovu.,Could not send the code. Please try again.,Не вдалося надіслати код. Спробуйте ще раз.,,,
loginOtpResend,Auth,Poslat kód znovu,Resend code,Надіслати код знову,,,
loginOtpSubtitle,Auth,Zadejte kód z SMS. Platnost kódu je {minutes} minut.,Enter the code we sent by SMS. The code expires in {minutes} minutes.,Введіть код з SMS. Код дійсний {minutes} хвилин.,,,
loginOtpVerify,Auth,Ověřit a přihlásit se,Verify and sign in,Підтвердити та увійти,,,
loginPassword,Auth,Heslo,Password,Пароль,,,
loginPasswordBackToOtp,Auth,Přihlásit se přes SMS kód,Sign in with SMS code,Увійти через SMS-код,,,
loginPhoneStepSubtitle,Auth,Zadejte telefon — pošleme vám SMS kód pro přihlášení.,Enter your phone number — we will send you an SMS code to sign in.,Введіть телефон — надішлемо SMS-код для входу.,,,
loginSignUp,Auth,Registrovat se,Sign up,Записатися,,,
loginSubtitle,Auth,Přihlaste se ke svému účtu,Sign in to your account,Увійдіть до свого акаунта,,,
loginTitle,Auth,Přihlásit se,Login,Увійти,,,
loginWelcomeBack,Auth,Vítejte v aplikaci Real Barber,Welcome to Real Barber,Вітаємо в застосунку Real Barber,,,
mapCentralWarehousePhoneA11y,Map,Zavolat pro domluvu nákupu nebo vyzvednutí na centrálním skladě,Call to arrange purchase or pickup at the central warehouse,Зателефонувати щодо покупки або отримання на центральному складі,,,
mapCentralWarehousePhoneDisplay,Map,+420 774 522 114,+420 774 522 114,+420 774 522 114,,,
mapLoadingBranches,Map,Načítání poboček…,Loading branches…,Завантаження філій…,,,
multiStepComplete,Add property steps & texts,Dokončit,Complete,Завершити,,,
multiStepNext,Add property steps & texts,Další,Next,Інше,,,
multiStepSkip,Add property steps & texts,Přeskočit,Skip,Пропустити,,,
myHaircutsAddNewA11y,My haircuts,Přidat nový styl,Add new style,Додати новий стиль,,,
myHaircutsBadgeFirst,My haircuts,Můj první účes,My first haircut,Моя перша зачіска,,,
myHaircutsBadgeNewest,My haircuts,Můj nový účes,My newest haircut,Моя нова зачіска,,,
myHaircutsCreate,My haircuts,Vytvořte si vlastní styl,Create your own style,Створіть власний стиль,,,
myHaircutsEmpty,My haircuts,Zatím nemáte uložený styl. Vytvořte si ho níže.,No saved styles yet. Create one below.,Поки немає збереженого стилю. Створіть його нижче.,,,
myHaircutsLoadError,My haircuts,Střihy se nepodařilo načíst.,Could not load haircuts.,Не вдалося завантажити стрижки.,,,
myHaircutsLoginToSee,My haircuts,Pro zobrazení uložených stylů se přihlaste.,Log in to see your saved styles.,"Щоб переглянути збережені стилі, увійдіть.",,,
myHaircutsWhatsFor,My haircuts,K čemu to je?,What's it for?,Для чого це?,,,
myHaircutsYours,My haircuts,Vaše styly,Your styles,Ваші стилі,,,
navBookings,Bottom navigation (tab bar),Rezervace,Bookings,Бронювання,,,
navCalendar,Bottom navigation (tab bar),Kalendář,Calendar,Календар,,,
navFavorites,Bottom navigation (tab bar),Oblíbené,Favorites,Улюблені,,,
navHome,Bottom navigation (tab bar),Domů,Home,Домівка,,,
navListings,Bottom navigation (tab bar),Inzeráty,Listings,Оголошення,,,
navMessages,Bottom navigation (tab bar),Zprávy,Messages,Повідомлення,,,
navProfile,Bottom navigation (tab bar),Profil,Profile,Профіль,,,
nearestBranchCta,Real Barber home screen,Blízko mě,Near me,Поруч зі мною,,,
nearestBranchFailed,Real Barber home screen,Nejbližší pobočku se teď nepodařilo určit.,We could not determine the nearest branch right now.,Зараз не вдалося визначити найближчу філію.,,,
nearestBranchFindCta,Real Barber home screen,Blízko mě,Near me,Поруч зі мною,,,
nearestBranchHomeNearestLine,Real Barber home screen,Nejbližší: {details},Nearest: {details},Найближча: {details},,,
nearestBranchHomeYou,Real Barber home screen,Vy / {location},You / {location},Ви / {location},,,
nearestBranchHomeYouFallback,Real Barber home screen,Vy,You,Ви,,,
nearestBranchHoursHint,Real Barber home screen,Zobrazit otevírací dobu,Show opening hours,Показати години роботи,,,
nearestBranchHoursTooltipTitle,Real Barber home screen,Otevírací doba:,Opening hours:,Години роботи:,,,
nearestBranchHoursWeekdays,Real Barber home screen,Po–Pá: 09:00–21:00,Mon–Fri: 09:00–21:00,Пн–Пт: 09:00–21:00,,,
nearestBranchHoursWeekend,Real Barber home screen,So–Ne: 10:00–18:00,Sat–Sun: 10:00–18:00,Сб–Нд: 10:00–18:00,,,
nearestBranchLoading,Real Barber home screen,Hledám nejbližší pobočku…,Finding nearest branch…,Шукаю найближчу філію…,,,
nearestBranchOpen,Real Barber home screen,Otevřít,Open,Відкрити,,,
nearestBranchSlotsEmpty,Real Barber home screen,Momentálně nemáme volné termíny na této pobočce.,No available slots at this branch right now.,Наразі немає вільних слотів у цій філії.,,,
nearestBranchSlotsTitle,Real Barber home screen,Nejbližší volné termíny,Nearest available slots,Найближчі вільні терміни,,,
nearestBranchStatusClosed,Real Barber home screen,Zavřeno,Closed,Зачинено,,,
nearestBranchStatusClosingSoon,Real Barber home screen,Za chvíli zavírá,Closing soon,Невдовзі зачиняється,,,
nearestBranchStatusOpen,Real Barber home screen,Otevřeno,Open,Відчинено,,,
nearestBranchStatusOpeningSoon,Real Barber home screen,Za chvíli otevírá,Opening soon,Невдовзі відчиняється,,,
nearestBranchTravelBicycle,Real Barber home screen,{minutes} min na kole,{minutes} min by bike,{minutes} хв велосипедом,,,
nearestBranchTravelDrive,Real Barber home screen,{minutes} min autem,{minutes} min by car,{minutes} хв авто,,,
nearestBranchTravelFromYou,Real Barber home screen,Od vás {distance},{distance} from you,Від вас {distance},,,
nearestBranchTravelTrafficSuffix,Real Barber home screen, · dle aktuálního provozu, · based on current traffic,· за поточним трафіком,,,
nearestBranchTravelWalk,Real Barber home screen,{minutes} min pěšky,{minutes} min on foot,{minutes} хв пішки,,,
nearestBranchUnavailable,Real Barber home screen,Polohu se nepodařilo získat. Zkuste to znovu později.,Could not get your location. Please try again later.,Не вдалося отримати місцезнаходження. Спробуйте пізніше.,,,
notFoundBackToHome,404,Zpět na úvod,Back to Home,На головну,,,
notifSettingsBookingTravel,Profile notifications settings,Rezervace a cesty,Booking & Travel,Бронювання та поїздки,,,
notifSettingsBookingUpdates,Profile notifications settings,Aktualizace rezervací,Booking Updates,Оновлення бронювань,,,
notifSettingsCheckinReminders,Profile notifications settings,Připomínky check-inu,Check-in Reminders,Нагадування про check-in,,,
notifSettingsHostMessages,Profile notifications settings,Zprávy od hostitele,Host Messages,Повідомлення від господаря,,,
notifSettingsHostPromotions,Profile notifications settings,Akce hostitele,Host Promotions,Акції господаря,,,
notifSettingsMarketingEmails,Profile notifications settings,Marketingové e-maily,Marketing Emails,Маркетингові ел. листи,,,
notifSettingsPaymentConfirmations,Profile notifications settings,Potvrzení platby,Payment Confirmations,Підтвердження оплати,,,
notifSettingsPromotionsMarketing,Profile notifications settings,Akce a marketing,Promotions & Marketing,Акції та маркетинг,,,
notifSettingsReviewRequests,Profile notifications settings,Žádosti o recenzi,Review Requests,Запити на відгук,,,
notifSettingsSpecialOffers,Profile notifications settings,Speciální nabídky,Special Offers,Вигідні пакети,,,
notifSettingsTravelTips,Profile notifications settings,Cestovní tipy,Travel Tips,Подорожні поради,,,
notifTestLocalButton,Profile notifications settings,Test notifikace,Test notification,Тест сповіщення,,,
notifTestLocalNotifBody,Profile notifications settings,Test lokální notifikace — OK,Local test notification — OK,Тест локального сповіщення — OK,,,
notifTestLocalNotifTitle,Profile notifications settings,Real Barber,Real Barber,Real Barber,,,
notifTestLocalPermissionMessage,Profile notifications settings,Povolte oznámení v nastavení systému.,Allow notifications in system settings.,Дозвольте сповіщення в налаштуваннях системи.,,,
notifTestLocalPermissionTitle,Profile notifications settings,Oznámení,Notifications,Сповіщення,,,
notifTestLocalSectionTitle,Profile notifications settings,Test notifikace,Test notification,Тест сповіщення,,,
notifTestLocalUnsupported,Profile notifications settings,Na této platformě není k dispozici.,Not available on this platform.,На цій платформі недоступно.,,,
notificationsAll,Notifications,Vše,All,Усе,,,
notificationsBookings,Notifications,Rezervace,Bookings,Бронювання,,,
notificationsCancellations,Notifications,Zrušení,Cancellations,Скасування,,,
notificationsDetailEmptyBody,Notifications,Bez dalšího textu.,No additional text.,Без додаткового тексту.,,,
notificationsHistoryTitle,Notifications,Historie notifikací,Notification history,Історія сповіщень,,,
notificationsInquiries,Notifications,Dotazy,Inquiries,Запити,,,
notificationsLeaveReview,Notifications,Napsat recenzi,Leave a review,Написати відгук,,,
notificationsLoadMore,Notifications,Načíst další,Load more,Завантажити ще,,,
notificationsMarketing,Notifications,Marketing,Marketing,Маркетинг,,,
notificationsMessages,Notifications,Zprávy,Messages,Повідомлення,,,
notificationsNoFound,Notifications,Žádná oznámení,No notifications found,Немає сповіщень,,,
notificationsPayments,Notifications,Platby,Payments,Платежі,,,
notificationsReviews,Notifications,Recenze,Reviews,Відгук,,,
notificationsSubtitle,Notifications,Mějte přehled o rezervacích a cestách,Stay updated on your bookings and travel plans,Слідкуйте за бронюваннями та поїздками,,,
notificationsTitle,Notifications,Oznámení,Notifications,Сповіщення,,,
notificationsUnreadSubtitle,Notifications,{{count}} nezobrazených,{{count}} unread,{{count}} непрочитаних,,,
notificationsViewTransaction,Notifications,Zobrazit transakci,View transaction,Переглянути транзакцію,,,
operatorCallUsTitle,Help,Zavolejte nám,Call us,Зателефонуйте нам,,,
operatorContactPhone,Help,Telefon,Phone,Телефон,,,
operatorContactTelegram,Help,Telegram,Telegram,Telegram,,,
operatorContactWhatsApp,Help,WhatsApp,WhatsApp,WhatsApp,,,
operatorFabAccessibility,Help,Kontaktovat podporu,Contact support,Зв’язатися з підтримкою,,,
operatorSheetDisableBefore,Help,"""Pokud vás ruším, ""","""If I'm in your way, ""","Якщо я заважаю,",,,
operatorSheetDisableLink,Help,vypněte si mě v Nastavení funkcí,turn me off in Feature settings,вимкніть мене в Налаштуваннях функцій,,,
operatorSheetTitle,Help,Kontaktovat podporu,Contact support,Зв’язатися з підтримкою,,,
orderCancellationPolicy,Order detail,Storno podmínky,Cancellation policy,Умови скасування,,,
orderChange,Order detail,Změnit,Change,Змінити,,,
orderChooseHowToPay,Order detail,Vyberte způsob platby,Choose how to pay,Оберіть спосіб оплати,,,
orderConfirmAndPay,Order detail,Potvrdit a zaplatit,Confirm and pay,Підтвердити та оплатити,,,
orderPriceDetails,Order detail,Cenové detaily,Price details,Деталі ціни,,,
orderYourTrip,Order detail,Vaše cesta,Your trip,Ваша поїздка,,,
paymentMethodCard,Trip detail / Booking detail,Kartou,Card,Карткою,,,
paymentMethodCash,Trip detail / Booking detail,Hotovost,Cash,Готівка,,,
paymentMethodRbc,Trip detail / Booking detail,RB coiny,RB coins,RB Coins,,,
paymentsAddCard,Payments,Přidat novou kartu,Add New Card,Додати нову картку,,,
paymentsApplePay,Payments (extra),Apple Pay,Apple Pay,Apple Pay,,,
paymentsApplePaySetup,Payments (extra),Nastavte Apple Pay pro rychlejší platby,Set up Apple Pay for faster checkout,Налаштуйте Apple Pay для швидшої оплати,,,
paymentsCancel,Payments (extra),Zrušit,Cancel,Скасувати,,,
paymentsCardNumber,Payments,Číslo karty,Card Number,Номер картки,,,
paymentsCardholder,Payments,Jméno držitele,Cardholder Name,Ім’я власника,,,
paymentsCvv,Payments (extra),CVC,CVV,CVC,,,
paymentsDigitalWallets,Payments,Digitální peněženky,Digital Wallets,Цифрові гаманці,,,
paymentsExpiry,Payments,Datum expirace,Expiry Date,Термін дії,,,
paymentsGooglePay,Payments (extra),Google Pay,Google Pay,Google Pay,,,
paymentsGooglePaySetup,Payments (extra),Nastavte Google Pay pro rychlejší platby,Set up Google Pay for faster checkout,Налаштуйте Google Pay для швидшої оплати,,,
paymentsSaveCard,Payments (extra),Uložit kartu,Save Card,Зберегти картку,,,
paymentsSetAsDefault,Payments (extra),Nastavit jako výchozí platební metodu,Set as default payment method,Зробити способом оплати за замовчуванням,,,
paymentsSetDefault,Payments,Nastavit jako výchozí platební metodu,Set as default payment method,Зробити способом оплати за замовчуванням,,,
paymentsTitle,Payments,Platební metody,Payment Methods,Способи оплати,,,
paymentsYourCards,Payments,Vaše karty,Your cards,Ваші картки,,,
permissionAllowLocation,Permissions,Povolit přístup k poloze,Allow Location Access,Дозволити доступ до місцезнаходження,,,
permissionAllowNotifications,Permissions,Povolit upozornění,Allow Notifications,Дозволити сповіщення,,,
permissionSkipForNow,Permissions,Teď ne,Skip for Now,Не зараз,,,
phoneCallFeedbackReason_callRejected,Help,Hovor mi byl odmítnut,Call was rejected,Дзвінок відхилили,,,
phoneCallFeedbackReason_inflexible,Help,Nechtěl mi vyhovět,Would not accommodate me,Не захотів допомогти,,,
phoneCallFeedbackReason_language,Help,Jazyková bariéra,Language barrier,Мовний бар’єр,,,
phoneCallFeedbackReason_lineBusy,Help,Linka byla obsazena,Line was busy,Лінія була зайнята,,,
phoneCallFeedbackReason_longWait,Help,Dlouhé čekání,Long wait,Довге очікування,,,
phoneCallFeedbackReason_noBookingHelp,Help,Neuměl poradit s rezervací,Could not help with booking,Не допоміг із бронюванням,,,
phoneCallFeedbackReason_other,Help,Jiné,Other,Інше,,,
phoneCallFeedbackReason_rushed,Help,Spěchal / odbyl mě,Rushed / brushed me off,Поспішав / відмахнувся,,,
phoneCallFeedbackReason_unpleasant,Help,Nepříjemný,Unpleasant,Неприємний,,,
phoneCallFeedbackReason_unreachable,Help,Nedovolal jsem se,Could not get through,Не додзвонився,,,
phoneCallFeedbackReason_wrongInfo,Help,Špatné informace,Wrong information,Неправильна інформація,,,
phoneCallFeedbackReasonsSubtitle,Help,Co bylo špatně?,What went wrong?,Що було не так?,,,
phoneCallFeedbackSubmit,Help,Odeslat,Submit,Надіслати,,,
phoneCallFeedbackTitle,Help,Jak hodnotíte hovor s operátorem?,How would you rate your call with our operator?,Як ви оцінюєте дзвінок з оператором?,,,
phoneCountrySearchEmpty,Auth,Nic nenalezeno.,Nothing found.,Нічого не знайдено.,,,
phoneCountrySearchPlaceholder,Auth,Zadejte zemi nebo předvolbu,Enter country or dial code,Введіть країну або префікс,,,
phoneCountrySheetTitle,Auth,Vyberte předvolbu,Select dial code,Оберіть префікс,,,
popularBarbershops,Common,Oblíbené holičství v Praze,Popular barbershops in Prague,Популярні барбершопи в Празі,,,
productAvailability,Product detail,Dostupnost,Availability,Доступність,,,
productBuy,Product detail,Koupit,Buy,Купити,,,
productBuyerReviews,Product detail,Recenze kupujících,Buyer reviews,Відгуки покупців,,,
productCatalogFlags,Product detail,Štítky,Labels,Мітки,,,
productDetails,Product detail,Detaily produktu,Product details,Деталі продукту,,,
productEdit,Product detail,Upravit,Edit,Редагувати,,,
productNapsatRecenzi,Product detail,Napsat recenzi,Napsat recenzi,Написати відгук,,,
productPiecesAbbr,Product detail,ks,pcs,шт,,,
productPricePerProduct,Product detail,za produkt,per product,за продукт,,,
productPurchaseCashback,Product detail,Cashback,Cashback,Кешбек,,,
productPurchaseCashbackPaid,Product detail,Vyplaceno,Paid out,Виплачено,,,
productPurchaseCashbackPending,Product detail,Zatím nevyplaceno,Not paid out yet,Ще не виплачено,,,
productPurchaseCashbackStatus,Product detail,Výplata cashbacku,Cashback payout,Виплата кешбеку,,,
productPurchaseDate,Product detail,Datum nákupu,Purchase date,Дата покупки,,,
productPurchaseInfoP1,Product detail,Na přímém online prodeji produktů právě pracujeme.,We’re working on direct online sales of products.,Над прямим онлайн-продажем продуктів ми зараз працюємо.,,,
productPurchaseInfoThanks,Product detail,"""Děkujeme, že jste s námi.""",Thank you for being with us.,"Дякуємо, що ви з нами.",,,
productPurchaseInfoTitle,Product detail,Online nákup produktů,Buying products online,Онлайн-купівля продуктів,,,
productPurchaseNotes,Product detail,Poznámka,Notes,Примітка,,,
productPurchaseQuantity,Product detail,Počet kusů,Quantity,Кількість штук,,,
productPurchaseTotal,Product detail,Celkem zaplaceno,Total paid,Усього сплачено,,,
productPurchaseUnitPrice,Product detail,Cena za kus,Unit price,Ціна за штуку,,,
productRecenzovat,Product detail,Recenzovat,Recenzovat,Залишити відгук,,,
productReviewAuthorAnonymous,Product detail,Anonymní,Anonymous,Анонім,,,
productReviewsCount,Product detail,recenzí,reviews,Відгуки,,,
productSeller,Product detail,Prodejce,Seller,Продавець,,,
productShareDialogTitle,Product detail,Real Barber,Real Barber,Real Barber,,,
productShareIntroRealBarber,Product detail,"""Podívej se, co mají v Real Barberu:""",See what they have at Real Barber:,"Подивись, що є в Real Barber:",,,
productSharePickupWarehouse,Product detail,Sklad / vyzvednutí,Pickup warehouse,Склад / отримання,,,
productSharePrice,Product detail,Cena,Price,Ціна,,,
productSharePrimaryImage,Product detail,Zde máš obrázek jak to vypadá,Here's what it looks like,Ось як це виглядає,,,
productSharePurchaseQuantity,Product detail,Množství,Quantity,Кількість,,,
productSku,Product detail,SKU,SKU,SKU,,,
productStock,Product detail,Počet na skladě,Stock quantity,Кількість на складі,,,
